year,CusPct,did,Industry,Lev,HighTech_1,quality,Size,ROA,Age,amount,Emply,hfd5,ln_Cus,IndustryLernerIndex,upstream,treated,policy,_quality,_amount,_did,lnlab,light,ind_str,sc,GTFP,SpatialDistance,GIE,did_2,iv,id,t_amount,t_quality,t_GIE
2009,12.97,0,I64,2.022708,1,0,21.37973,0.0320647,2.564949,0,7.605392,0.091202,18.4377,0.059018,0,1,2010,0,0,0,5.942038,18.636506,243.56,1,0.7932776,987.30479,0,1,7.368128,200,0,0,0
2009,7.82,0,I63,2.126476,1,0,23.0976,0.0364258,2.564949,0,8.108021,0.17239,18.8518,0.11148,0,1,2012,0,0,0,6.920349,15.063479,274.56,1,0.79003733,12.059667,0,0,7.073476,201,0,0,0
2010,,0,S90,2.098554,0,0,23.09797,0.0107133,2.639057,0,8.11582,0.171825,19.68307,0.119882,0,1,2012,0,0,0,6.981923,18.090527,274.23,1,0.802176,12.059667,0,1,7.085878,201,0,0,0
2011,,0,S90,2.018957,0,0,23.1074,0.0075486,2.70805,0,8.925056,0.171827,19.42904,0.11089,0,1,2012,0,0,0,6.862555,16.531709,275.23,1,0.86551173,12.059667,0,1,7.073507,201,0,0,0
2009,2.66,0,C15,2.466878,0,0,20.8341,0.1327317,2.564949,0,6.908755,0.183424,17.37972,0.308168,0,1,2012,0,0,0,3.635921,0.87512039,218.57,0,0.80470747,3.452045,0,0,7.448565,202,0,0,0
2010,3.35,0,C15,2.26175,0,0,21.03803,0.1438176,2.639057,0,7.089243,0.183623,17.92533,0.318183,0,1,2012,0,0,0,3.662995,1.0257769,217.6,0,0.836216,3.452045,0,1,7.426283,202,0,0,0
2010,6.05,1,C17,2.35287,0,0,22.65574,0.0689326,2.564949,0,8.678461,0.217825,,0.083938,0,1,2010,0,0,0,4.134206,2.1597037,215.49,1,,3.452045,0,1,6.881841,203,0,0,
2011,4.62,1,C17,1.637588,0,0,22.57123,0.0448147,2.639057,0,8.640295,0.217916,,0.087838,0,1,2010,0,0,0,4.104864,2.3333333,214.92,1,,0.558945,0,1,6.984036,203,0,0,0
2012,,0,C17,2.061765,0,0,22.62288,0.0510079,2.70805,0,8.739857,0.217664,18.66032,0.05671,0,0,,0,0,0,4.049875,2.4931111,215.29,1,0.86785707,0.558945,0,1,6.908189,203,0,0,0
2013,,0,C17,2.080693,0,0,22.54232,0.0273356,2.772589,0,8.744966,0.215658,18.69185,0.068547,0,0,,0,0,0,4.25288,2.9574074,218.36,1,0.8856584,0.558945,0,0,6.999508,203,0,0,0
2014,5.45,0,C17,2.457061,0,0,22.62204,0.0555856,2.833213,0,8.559295,0.215689,18.49799,0.070373,0,0,,0,0,0,4.25941,2.0321481,219.74,1,0.94997813,0.558945,0,0,6.760442,203,0,0,0
2015,5.61,0,C17,2.728398,0,0,22.87173,0.0058825,2.890372,0,8.598773,0.215632,18.49985,0.084098,0,0,,0,0,0,4.199308,2.2171852,223.43,1,0.94332933,4.795003,0,0,6.837432,203,0,0,0
2016,4.25,0,C17,2.567566,0,0.5,22.7768,0.0078953,2.944439,0,8.537388,0.215619,18.24004,0.087973,1,0,,0.5,0,0,4.322561,2.2337037,227.43,1,0.9613152,4.795003,0,0,6.92678,203,0,0,0
2017,4.76,0,C17,2.457203,0,0.6666666,22.78658,0.0105587,2.995732,0,8.592857,0.215625,18.52958,0.096914,1,0,,0.6666666,0,0,4.410757,3.4874815,228.35,1,1.0122411,4.795003,0,0,6.852464,203,0,0,0
2009,2.31,0,C30,2.33909,0,0,21.34531,0.0165298,2.772589,0,6.96319,0.018612,17.59175,0.142044,1,1,2012,0,0,0,4.577477,4.0985197,249.05,0,0.7922336,,0,1,7.266278,204,0,0,0
2009,6.21,0,C35,2.72328,1,0,21.18782,0.0724294,2.484907,0,7.410347,0.455806,18.13824,0.094579,1,0,,0,0,0,5.718014,8.4812485,247.21,1,0.8071512,,0,1,6.985182,205,0,0,0
2009,9.58,0,C30,1.176338,0,0,20.58248,0.0166688,2.484907,0,9.014568,0.100975,17.04569,,1,0,,0,0,0,4.827356,11.261556,223.37,1,0.78823547,4.795003,0,0,7.292862,206,0,0,0
2012,42.45,0,C35,1.378776,1,0,21.338,0.0289343,2.70805,0,8.286521,0.101314,20.33543,0.103011,1,0,,0,0,0,4.939945,12.190274,222.7,1,0.89186987,4.795003,0,0,7.297735,206,0,0,0
2013,43.35,0,C35,1.382411,1,0,21.46541,0.0080696,2.772589,0,8.01235,0.101288,20.21841,0.075166,1,0,,0,0,0,4.926697,12.747009,223.24,1,0.9006008,4.795003,0,0,7.226818,206,0,0,0
2014,,0,C35,1.276654,1,0,21.6167,-0.0359987,2.833213,0,8.00102,0.101319,20.78107,0.066912,1,0,,0,0,0,4.913992,16.252,224.28,1,0.94988747,4.795003,0,1,7.232442,206,0,0,0
2015,,0,C35,1.152375,1,0.6666666,21.52889,-0.085684,2.890372,0,7.994632,0.174207,20.68886,0.067345,1,0,,0.6666666,0,0,5.009397,15.406102,226.23,1,0.95938267,4.795003,0,1,7.303591,206,0,0,0
2017,64.7,1,C35,1.246231,1,0,21.33323,0.0081505,2.995732,0,7.508239,0.094333,20.85607,0.102638,1,1,2012,,0,1,4.804214,19.736816,228.5,1,,4.795003,,1,7.322168,206,0,0,
2019,81.05,1,C35,1.242697,1,0.4444444,21.55891,0.0062023,3.091043,0,7.470794,0.09009,21.44781,0.159769,1,1,2012,,0,1,5.222455,20.640193,232.14,1,,4.795003,,0,7.326145,206,0,0,
2009,40.01,0,C14,3.325941,0,0,23.76058,0.2018702,2.484907,0,10.04181,0.3145,22.21691,0.122328,0,0,,0,0,0,4.385022,0.77500565,209.95,1,0.79843573,,0,0,6.362317,207,0,0,0
2009,6.72,0,A01,1.464491,0,0,22.806,0.0251279,2.484907,0,8.784469,0.222061,19.82703,0.085487,1,1,2012,0,0,0,6.920349,15.063479,274.56,1,0.80660987,4.795003,0,0,7.073476,208,0,0,0
2010,6.95,0,A01,1.391963,0,0,23.01876,0.0313886,2.564949,0,8.699681,0.222805,19.89043,0.097803,1,1,2012,0,0,0,6.981923,18.090527,274.23,1,0.824248,4.795003,0,0,7.085878,208,0,0,0
2011,7.58,0,A01,1.407936,0,0,23.0586,0.0317452,2.639057,0,8.782323,0.222197,20.16927,0.084101,1,1,2012,0,0,0,6.862555,16.531709,275.23,1,0.85943573,4.795003,0,0,7.073507,208,0,0,0
2009,3.9,0,C30,2.125959,0,0,21.18472,0.1035561,2.484907,0,7.387709,0.485061,17.31864,0.142044,1,0,,0,0,0,6.077706,23.555706,258.96,1,0.77776453,,0,0,6.990271,209,0,0,0
2010,22.54,0,C34,1.165277,1,0,22.03228,0.0140176,2.564949,0,7.399398,0.078634,19.24269,0.101394,1,1,2017,0,0,0,4.090529,8.6484602,239.38,0,0.815984,4.795003,0,1,7.593387,210,0,0,0
2011,18.52,0,C34,1.147454,1,0,22.37349,0.0165771,2.639057,0,7.484931,0.078659,19.47025,0.098839,1,1,2017,0,0,0,4.084316,8.5229518,237.23,0,0.82989893,7.842614,0,1,7.459249,210,0,0,0
2012,29.97,0,C34,1.109745,1,0,22.3539,-0.0035832,2.70805,0,6.59578,0.078687,19.45195,0.069346,1,1,2017,0,0,0,4.254862,9.4601976,237.38,0,0.86102187,12.756349,0,1,7.517748,210,0,0,0
