stkcd,year,city,DEPTH,EXTEND,DIG,DID,policy1,policy2,CRE,IA,UD,RES_TOPSIS,FAG,LE,OPEN,GOV,DIS,DEVELOP,ADAPT,RECOVER,RESIS,RES,AGE,PROFIT,BOARD,TOP5,RD,SIZE,SDS,CSP,CSC,instrument1,instrument2,IPP,AGE2,DIDtime
1733,2022,48,0.0929713,0.07,1,0,1,0,0.06,0.07,0.1452,0.4290519,1.26,10.572577,8.52465,0.2,4.446837,0.3323252,0.3714025,0.3327333,0.3347723,0.3659444,5,0.17,7,0.56,2.47,20.96,1,0.5,1,51,0,1,25,0
1734,2017,48,0.3970391,0.02,0,0,1,0,-0.07,0.02,0.1257,0.4122596,1.38,8.5485726,8.36012,0.25,4.446837,0.3769618,0.3032535,0.3550268,0.2959565,0.4061668,0,2.25,9,0.3,7.03,21.61,0,0.5,1,100,20,1,0,0
1734,2018,48,0.3088943,0.02,1,0,1,0,-0.05,0.01,0.1537,0.4196771,1.29,8.6754694,8.35498,0.26,4.446837,0.4057656,0.2908669,0.3653891,0.3443763,0.3749313,1,2.03,9,0.3,6.87,21.86,0,0.5,1,90,18,1,1,0
1734,2019,48,0.2601799,0.02,1,0,1,0,-0.05,0.03,0.1707,0.4268776,1.1,8.9927115,8.42696,0.21,4.446837,0.3936874,0.3372116,0.3751455,0.3370425,0.3536414,2,1.6,9,0.38,7,22.05,1,0.5,1,145,29,1,4,0
1734,2020,48,0.2021564,0.04,1,0,1,0,-0.06,0.03,0.1713,0.4289838,1.23,9.5574025,8.46295,0.21,4.446837,0.4060344,0.3350379,0.3712884,0.3434549,0.3489055,3,1.32,8,0.4,7.65,22.09,1,0.5,1,145,29,1,9,0
1734,2021,48,0.1769413,0.08,1,0,1,0,-0.01,0.02,0.1899,0.4279415,1.29,10.160163,8.4938,0.2,4.446837,0.4019849,0.297017,0.3854524,0.3390507,0.3726971,4,2.92,9,0.28,7.2,22.36,1,0.5,1,145,29,1,16,0
1734,2022,48,0.2075684,0.04,1,0,1,0,0,0.03,0.2025,0.4281221,1.26,10.572577,8.52465,0.2,4.446837,0.4080681,0.3073472,0.3860421,0.3572581,0.3549633,5,2.27,9,0.31,7.42,22.61,1,0.5,1,85,17,1,25,0
1735,2015,82,0.331623,0.13,0,0,0,0,0.16,0.02,0.0708,0.3923074,0.41,4.7607015,6.37035,0.36,4.446837,0.39797,0.4506793,0.2988324,0.3341497,0.314928,0,5.3,11,0.78,0.62,22.38,1,0.5,1,4,0,0,0,0
1735,2016,82,0.5003288,0.02,0,0,0,0,0.15,0.02,0.072,0.4008448,0.35,4.9700813,6.39606,0.31,4.446837,0.4103972,0.430319,0.2805806,0.3288248,0.3330348,1,6.83,11,0.89,0.63,22.46,1,0.5,1,18,0,0,1,0
1735,2017,82,0.6537203,0.69,0,1,0,0,0.19,0.02,0.0826,0.4267291,0.38,5.1858059,6.47832,0.32,4.446837,0.5403627,0.4670399,0.3659929,0.3868911,0.4492759,2,6.67,9,0.92,0.29,22.5,1,0.5,1,20,0,0,4,1
1735,2018,82,0.634095,0.52,0,1,0,0,0.16,0.02,0.0926,0.4366049,0.32,5.3634615,6.54002,0.32,4.446837,0.5491058,0.5247865,0.3686631,0.4202018,0.4264425,3,7.79,9,0.92,0.43,22.58,1,0.5,1,13,0,0,9,1
